STATE,COUNTYNAME,CWA,TIME_ZONE,DST,Standard Time,Daylight Time
KY,Bracken,ILN,Eastern Time,True,UTC-5,UTC-4
KY,Breathitt,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Breckinridge,LMK,Central Time,True,UTC-6,UTC-5
KY,Bullitt,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Butler,LMK,Central Time,True,UTC-6,UTC-5
KY,Caldwell,PAH,Central Time,True,UTC-6,UTC-5
KY,Calloway,PAH,Central Time,True,UTC-6,UTC-5
KY,Campbell,ILN,Eastern Time,True,UTC-5,UTC-4
KY,Carlisle,PAH,Central Time,True,UTC-6,UTC-5
KY,Carroll,ILN,Eastern Time,True,UTC-5,UTC-4
KY,Carter,RLX,Eastern Time,True,UTC-5,UTC-4
KY,Casey,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Christian,PAH,Central Time,True,UTC-6,UTC-5
KY,Clark,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Clay,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Hopkins,PAH,Central Time,True,UTC-6,UTC-5
KY,Crittenden,PAH,Central Time,True,UTC-6,UTC-5
KY,Cumberland,LMK,Central Time,True,UTC-6,UTC-5
KY,Daviess,PAH,Central Time,True,UTC-6,UTC-5
KY,Edmonson,LMK,Central Time,True,UTC-6,UTC-5
KY,Elliott,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Estill,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Fayette,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Fleming,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Floyd,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Franklin,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Gallatin,ILN,Eastern Time,True,UTC-5,UTC-4
KY,Garrard,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Grant,ILN,Eastern Time,True,UTC-5,UTC-4
KY,Graves,PAH,Central Time,True,UTC-6,UTC-5
KY,Grayson,LMK,Central Time,True,UTC-6,UTC-5
KY,Green,LMK,Central Time,True,UTC-6,UTC-5
KY,Greenup,RLX,Eastern Time,True,UTC-5,UTC-4
KY,Hancock,LMK,Central Time,True,UTC-6,UTC-5
KY,Hardin,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Harlan,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Harrison,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Hickman,PAH,Central Time,True,UTC-6,UTC-5
KY,Henry,LMK,Eastern Time,True,UTC-5,UTC-4
KY,Henderson,PAH,Central Time,True,UTC-6,UTC-5
KY,Hart,LMK,Central Time,True,UTC-6,UTC-5
KY,Laurel,JKL,Eastern Time,True,UTC-5,UTC-4
KY,Clinton,LMK,Central Time,True,UTC-6,UTC-5
MI,Roscommon,APX,Eastern Time,True,UTC-5,UTC-4
MI,Saginaw,DTX,Eastern Time,True,UTC-5,UTC-4
MI,St. Joseph,IWX,Eastern Time,True,UTC-5,UTC-4
MI,Shiawassee,DTX,Eastern Time,True,UTC-5,UTC-4
MI,Washtenaw,DTX,Eastern Time,True,UTC-5,UTC-4
MS,Amite,LIX,Central Time,True,UTC-6,UTC-5
MS,Attala,JAN,Central Time,True,UTC-6,UTC-5
MS,Benton,MEG,Central Time,True,UTC-6,UTC-5
MS,Adams,JAN,Central Time,True,UTC-6,UTC-5
MS,Yalobusha,MEG,Central Time,True,UTC-6,UTC-5
MS,Winston,JAN,Central Time,True,UTC-6,UTC-5
MS,Wilkinson,LIX,Central Time,True,UTC-6,UTC-5
MS,Webster,JAN,Central Time,True,UTC-6,UTC-5
MS,Wayne,MOB,Central Time,True,UTC-6,UTC-5
MS,Washington,JAN,Central Time,True,UTC-6,UTC-5
MS,Warren,JAN,Central Time,True,UTC-6,UTC-5
MS,Walthall,LIX,Central Time,True,UTC-6,UTC-5
MS,Union,MEG,Central Time,True,UTC-6,UTC-5
MS,Tunica,MEG,Central Time,True,UTC-6,UTC-5
MS,Tishomingo,MEG,Central Time,True,UTC-6,UTC-5
MS,Tippah,MEG,Central Time,True,UTC-6,UTC-5
MS,Tate,MEG,Central Time,True,UTC-6,UTC-5
MS,Tallahatchie,MEG,Central Time,True,UTC-6,UTC-5
MS,Sunflower,JAN,Central Time,True,UTC-6,UTC-5
MS,Stone,MOB,Central Time,True,UTC-6,UTC-5
MS,Smith,JAN,Central Time,True,UTC-6,UTC-5
MS,Simpson,JAN,Central Time,True,UTC-6,UTC-5
MS,Sharkey,JAN,Central Time,True,UTC-6,UTC-5
MS,Scott,JAN,Central Time,True,UTC-6,UTC-5
MS,Rankin,JAN,Central Time,True,UTC-6,UTC-5
MS,Quitman,MEG,Central Time,True,UTC-6,UTC-5
MS,Prentiss,MEG,Central Time,True,UTC-6,UTC-5
MS,Pontotoc,MEG,Central Time,True,UTC-6,UTC-5
MS,Perry,MOB,Central Time,True,UTC-6,UTC-5
MS,Panola,MEG,Central Time,True,UTC-6,UTC-5
MS,Oktibbeha,JAN,Central Time,True,UTC-6,UTC-5
MS,Noxubee,JAN,Central Time,True,UTC-6,UTC-5
MS,Newton,JAN,Central Time,True,UTC-6,UTC-5
MS,Neshoba,JAN,Central Time,True,UTC-6,UTC-5
MS,Montgomery,JAN,Central Time,True,UTC-6,UTC-5
MS,Monroe,MEG,Central Time,True,UTC-6,UTC-5
MS,Marshall,MEG,Central Time,True,UTC-6,UTC-5
MS,Marion,JAN,Central Time,True,UTC-6,UTC-5
IA,Clinton,DVN,Central Time,True,UTC-6,UTC-5
IA,Crawford,DMX,Central Time,True,UTC-6,UTC-5
IA,Dallas,DMX,Central Time,True,UTC-6,UTC-5
IA,Davis,DMX,Central Time,True,UTC-6,UTC-5
IA,Decatur,DMX,Central Time,True,UTC-6,UTC-5
IA,Wright,DMX,Central Time,True,UTC-6,UTC-5
IA,Winneshiek,ARX,Central Time,True,UTC-6,UTC-5
IA,Woodbury,FSD,Central Time,True,UTC-6,UTC-5
IA,Worth,DMX,Central Time,True,UTC-6,UTC-5
IA,Jones,DVN,Central Time,True,UTC-6,UTC-5
IA,Webster,DMX,Central Time,True,UTC-6,UTC-5
IA,Winnebago,DMX,Central Time,True,UTC-6,UTC-5
IL,Jackson,PAH,Central Time,True,UTC-6,UTC-5
IL,Jefferson,PAH,Central Time,True,UTC-6,UTC-5
IL,Jersey,LSX,Central Time,True,UTC-6,UTC-5
IL,Jo Daviess,DVN,Central Time,True,UTC-6,UTC-5
IL,Johnson,PAH,Central Time,True,UTC-6,UTC-5
IL,Kane,LOT,Central Time,True,UTC-6,UTC-5
